year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,13257,89.4,0.836
2020,1,11,13259,19.2,0.799
2020,1,11,13261,121,0.952
2020,1,11,13263,14.7,0.523
2020,1,11,13265,4.42,0.779
2020,1,11,13267,29.5,0.308
2020,1,11,13269,49.1,1.6
2020,1,11,13271,31.9,0.777
2020,1,11,13273,45.7,1.3
2020,1,11,13275,45.2,0.274
2020,1,11,13277,67.8,0.343
2020,1,11,13279,133,1.14
2020,1,11,13281,8.35,0.214
2020,1,11,13283,22.1,0.836
2020,1,11,13285,208,0.558
2020,1,11,13287,18.7,0.594
2020,1,11,13289,12.3,0.427
2020,1,11,13291,21.6,0.21
2020,1,11,13293,85.9,0.759
2020,1,11,13295,254,0.811
2020,1,11,13297,97.2,0.211
2020,1,11,13299,62.4,0.401
2020,1,11,13301,39.8,1.41
2020,1,11,13303,28,0.399
2020,1,11,13305,44.7,0.392
2020,1,11,13307,4.42,0.439
2020,1,11,13309,16.7,1.04
2020,1,11,13311,118,0.728
2020,1,11,13313,1732,3.98
2020,1,11,13315,16.7,0.62
2020,1,11,13317,28,0.732
2020,1,11,13319,19.2,0.484
2020,1,11,13321,34.4,0.386
2020,1,11,15001,344,0.377
2020,1,11,15003,1104,0.245
2020,1,11,15007,98,0.268
2020,1,11,15009,268,0.309
2020,1,11,16001,407,0.16
2020,1,11,16005,34,0.0795
2020,1,11,16009,11,0.268
2020,1,11,16011,31,0.13
2020,1,11,16013,29,0.235
2020,1,11,16017,62,0.309
2020,1,11,16019,69,0.121
2020,1,11,16021,23,0.428
2020,1,11,16027,159,0.152
2020,1,11,16029,7,0.169
2020,1,11,16031,21,0.172
2020,1,11,16035,14,0.482
2020,1,11,16039,15,0.13
2020,1,11,16041,5,0.071
2020,1,11,16043,15,0.191
2020,1,11,16047,6,0.073
2020,1,11,16049,18,0.274
2020,1,11,16051,11,0.0784
2020,1,11,16053,24,0.197
2020,1,11,16055,209,0.261
2020,1,11,16057,31,0.151
2020,1,11,16061,7,0.425
2020,1,11,16063,6,0.222
2020,1,11,16065,17,0.0775
2020,1,11,16067,17,0.149
2020,1,11,16069,46,0.218
2020,1,11,16071,5,0.215
2020,1,11,16073,9,0.166
2020,1,11,16075,14,0.12
2020,1,11,16077,6,0.147
2020,1,11,16079,15,0.292
2020,1,11,16081,7,0.106
2020,1,11,16083,62,0.15
2020,1,11,16085,18,0.324
2020,1,11,16087,6,0.13
2020,1,11,17001,53.4,0.165
2020,1,11,17003,4.91,0.239
2020,1,11,17005,21,0.268
2020,1,11,17007,296,1.12
2020,1,11,17009,3.54,0.118
2020,1,11,17011,51.5,0.296
2020,1,11,17013,7.09,0.303
2020,1,11,17015,16.6,0.227
2020,1,11,17017,14.7,0.24
2020,1,11,17019,155,0.142
2020,1,11,17021,38.2,0.261
2020,1,11,17023,15.3,0.198
2020,1,11,17025,24,0.368
2020,1,11,17027,61.6,0.3
2020,1,11,17029,30,0.126
2020,1,11,17031,4980,0.192
2020,1,11,17033,15.5,0.178
2020,1,11,17035,15,0.245
2020,1,11,17037,178,0.322
2020,1,11,17039,17.2,0.229
2020,1,11,17041,16.4,0.159
2020,1,11,17043,662,0.13
2020,1,11,17045,8.99,0.0997
2020,1,11,17047,4.91,0.181
2020,1,11,17049,36,0.186
2020,1,11,17051,33.8,0.34
2020,1,11,17053,10.4,0.16
2020,1,11,17055,38.2,0.232
2020,1,11,17057,67.6,0.443
2020,1,11,17059,5.72,0.243
2020,1,11,17061,13.9,0.23
2020,1,11,17063,117,0.459
2020,1,11,17065,11.2,0.251
2020,1,11,17067,13.4,0.158
2020,1,11,17069,3.54,0.269
2020,1,11,17071,8.72,0.24
2020,1,11,17073,55,0.218
2020,1,11,17075,34.1,0.235
2020,1,11,17077,37.3,0.133
2020,1,11,17079,12.5,0.269
2020,1,11,17081,49.3,0.281
2020,1,11,17083,28.6,0.259
2020,1,11,17085,22.9,0.211
2020,1,11,17087,14.4,0.348
2020,1,11,17089,523,0.191
2020,1,11,17091,161,0.287
2020,1,11,17093,158,0.231
2020,1,11,17095,50.7,0.232
2020,1,11,17097,543,0.144
2020,1,11,17099,225,0.408
2020,1,11,17101,9.54,0.161
2020,1,11,17103,52.6,0.297
2020,1,11,17105,37.6,0.226
2020,1,11,17107,21.3,0.167
2020,1,11,17109,24.5,0.182
2020,1,11,17111,344,0.208
2020,1,11,17113,142,0.161
2020,1,11,17115,120,0.245
2020,1,11,17117,62.4,0.27
2020,1,11,17119,249,0.185
2020,1,11,17121,47.7,0.27
2020,1,11,17123,18,0.335
2020,1,11,17125,24.8,0.391
2020,1,11,17127,8.18,0.145
2020,1,11,17129,13.4,0.204
2020,1,11,17131,23.4,0.287
2020,1,11,17133,32.7,0.173
2020,1,11,17135,40.3,0.341
2020,1,11,17137,32.4,0.196
2020,1,11,17139,10.1,0.132
2020,1,11,17141,119,0.471
2020,1,11,17143,283,0.332
2020,1,11,17145,21,0.25
2020,1,11,17147,15.3,0.177
2020,1,11,17149,12.5,0.178
2020,1,11,17151,3.54,0.209
2020,1,11,17153,6,0.3
2020,1,11,17155,12.3,0.4
2020,1,11,17157,31.9,0.222
2020,1,11,17159,17.7,0.244
2020,1,11,17161,133,0.185
2020,1,11,17163,252,0.198
2020,1,11,17165,22.1,0.228
2020,1,11,17167,189,0.186
2020,1,11,17169,6,0.183
2020,1,11,17171,4.09,0.162
2020,1,11,17173,23.2,0.217
2020,1,11,17175,5.72,0.224
2020,1,11,17177,76.3,0.35
2020,1,11,17179,214,0.334
2020,1,11,17181,19.3,0.258
2020,1,11,17183,79.6,0.239
2020,1,11,17185,8.18,0.139
2020,1,11,17187,7.63,0.0892
2020,1,11,17189,22.3,0.218
2020,1,11,17191,16.6,0.236
2020,1,11,17193,7.36,0.11
2020,1,11,17195,59.7,0.207
2020,1,11,17197,958,0.268
2020,1,11,17199,70.3,0.219
2020,1,11,17201,1139,0.812
2020,1,11,17203,43.3,0.23
2020,1,11,18001,16,0.0927
2020,1,11,18003,245,0.131
2020,1,11,18005,43,0.0955
2020,1,11,18009,10,0.2
2020,1,11,18011,26,0.0713
2020,1,11,18013,20,0.258
2020,1,11,18015,11,0.107
2020,1,11,18017,35,0.194
2020,1,11,18019,46,0.0743
2020,1,11,18021,31,0.256
2020,1,11,18023,15,0.0871
2020,1,11,18025,16,0.328
2020,1,11,18027,14,0.0835
2020,1,11,18029,23,0.0887
2020,1,11,18031,19,0.126
2020,1,11,18033,25,0.11
2020,1,11,18035,93,0.172
2020,1,11,18037,14,0.0605
2020,1,11,18039,225,0.199
2020,1,11,18041,10,0.114
2020,1,11,18043,41,0.0981
2020,1,11,18047,17,0.149
2020,1,11,18049,13,0.131
2020,1,11,18051,24,0.123
2020,1,11,18053,75,0.236
2020,1,11,18055,33,0.24
2020,1,11,18057,127,0.0688
2020,1,11,18059,30,0.0741
2020,1,11,18061,27,0.132
2020,1,11,18063,49,0.0542
2020,1,11,18065,30,0.135
2020,1,11,18067,67,0.181
2020,1,11,18069,23,0.125
2020,1,11,18071,30,0.131
2020,1,11,18073,56,0.341
2020,1,11,18077,18,0.119
2020,1,11,18079,21,0.154
2020,1,11,18081,71,0.0852
2020,1,11,18083,26,0.14
2020,1,11,18085,89,0.21
2020,1,11,18087,29,0.144
2020,1,11,18089,404,0.174
2020,1,11,18091,83,0.173
2020,1,11,18093,36,0.169
2020,1,11,18095,117,0.197
2020,1,11,18097,591,0.12
2020,1,11,18099,40,0.172
2020,1,11,18103,45,0.29
2020,1,11,18105,54,0.0768
2020,1,11,18107,15,0.0796
2020,1,11,18109,53,0.145
2020,1,11,18113,51,0.215
2020,1,11,18117,18,0.208
2020,1,11,18119,12,0.127
2020,1,11,18123,25,0.269
2020,1,11,18125,15,0.244
2020,1,11,18127,165,0.188
2020,1,11,18129,11,0.0804
2020,1,11,18131,19,0.289
