FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000"
6085,NaN,49.525,0.9
6087,NaN,65.627,1.8
6089,NaN,75.066,3.9
6091,NaN,45.149,33.5
6093,NaN,69.548,4.6
6095,NaN,71.851,1.6
6097,NaN,58.569,2.4
6099,NaN,81.016,2
6101,NaN,75.989,4.1
6103,NaN,56.543,3.1
6105,NaN,53.3047,8
6107,NaN,83.021,1.5
6109,NaN,74.654,5.5
6111,NaN,64.769,1.4
6113,NaN,50.276,0.9
6115,NaN,80.655,2.6
8001,NaN,24.2396,1.4
8003,NaN,20.661,6
8005,NaN,23.9337,1.4
8007,NaN,22.679,7.3
8009,NaN,8.182,27.9
8011,NaN,11.563,0
8013,NaN,18.7663,2.1
8014,NaN,20.3552,2.9
8015,NaN,18.8016,5
8017,NaN,7.852,53.3
8019,NaN,27.8072,0
8021,NaN,15.218,12.2
8023,NaN,15.529,0
8025,NaN,14.227,0
8027,NaN,12.888,0
8029,NaN,16.1514,3.2
8031,NaN,25.2398,2.5
8033,NaN,20.096,0
8035,NaN,17.1975,1.8
8037,NaN,29.7857,1.8
8039,NaN,12.367,0
8041,NaN,23.1452,1.7
8043,NaN,20.8934,2.1
8045,NaN,21.4766,3.3
8047,NaN,35.495,0
8049,NaN,26.5213,12.9
8051,NaN,23.5556,5.8
8053,NaN,21.68,0
8055,NaN,23.565,14.5
8057,NaN,10.874,0
8059,NaN,21.18,0.5
8061,NaN,9.022,72.3
8063,NaN,6.548,14
8065,NaN,27.155,12.8
8067,NaN,22.0765,3.6
8069,NaN,20.2301,2.3
8071,NaN,18.988,6.9
8073,NaN,13.9,17.8
8075,NaN,13.5807,4.6
8077,NaN,21.2108,2.6
8079,NaN,15.19,0
8081,NaN,16.4345,7.6
8083,NaN,16.3611,3.8
8085,NaN,18.2633,2.4
8087,NaN,14.8633,7
8089,NaN,16.7216,5.4
8091,NaN,27.051,0
8093,NaN,16.0163,0
8095,NaN,6.65,46.7
8097,NaN,38.7544,5.6
8099,NaN,12.5576,8.2
8101,NaN,26.9947,2.4
8103,NaN,12.223,31.6
8105,NaN,19.394,8.9
8107,NaN,27.8992,3.9
8109,NaN,20.511,0
8111,NaN,17.54,0
8113,NaN,38.865,0
8115,NaN,5.446,43.4
8117,NaN,32.5271,3.2
8119,NaN,21.6386,4
8121,NaN,5.531,0
8123,NaN,20.6027,0.6
8125,NaN,5.0782,20
9001,NaN,None,0.8
9003,NaN,None,1.3
9005,NaN,None,1.7
9007,NaN,None,1.2
9009,NaN,None,1.2
9011,NaN,None,0.7
9013,NaN,None,2
9015,NaN,None,1.7
10001,NaN,None,1.1
10003,NaN,None,1.8
10005,NaN,None,1.7
11001,NaN,56.235,2.1
12001,460.4,None,2.2
12003,634.8,None,7.1
12005,466.3,None,2.7
12007,530.1,None,3.6
12009,386.4,None,2
12011,516.3,None,1.4
12013,404.5,None,6.9
12015,511.4,None,2.2
12017,480,None,1.4
12019,434.1,None,1.4
12021,449.4,None,1.6
12023,670.9,None,4.3
12027,786.9,None,2.7
12029,682.6,None,0
12031,223,None,1.6
12033,701.4,None,2.9
12035,356,None,0.9
12037,281.2,None,8.5
12039,910.8,None,4.4
12041,438.2,None,0
12043,524.6,None,0
12045,618.7,None,6.2
12047,566,None,0
12049,825.8,None,3.7
12051,849.5,None,2.4
12053,528.6,None,2.6
12055,639.3,None,2.8
12057,214.1,None,1.5
12059,462.1,None,5.1
12061,546.3,None,2.5
12063,741.1,None,4.1
12065,552.9,None,0
12067,561.2,None,0
12069,420.8,None,1.7
12071,304.4,None,0.9
12073,245.8,None,1.7
12075,549.4,None,2.5
12077,272,None,0
12079,480.3,None,10.8
12081,385.5,None,1.3
12083,583.1,None,1.9
12085,489.1,None,3.1
12086,486.2,None,1.3
12087,373.2,None,5.3
12089,362.3,None,1.2
12091,351.7,None,2.9
12093,1028,None,2.4
12095,199.8,None,1.3
12097,391.6,None,1.6
12099,459,None,1.3
12101,489,None,1.9
12103,498.1,None,1.8
12105,725.3,None,0.8
12107,763.2,None,1.3
12109,317,None,0.4
12111,558,None,1.9
12113,501.8,None,2.8
12115,327.6,None,1.6
12117,264.4,None,1.3
12119,445,None,1.6
12121,721.9,None,2.3
12123,448.6,None,9.2
12125,555.6,None,20.1
12127,400.3,None,1.6
12129,505.2,None,0
12131,437.1,None,2.8
12133,550.6,None,4
13001,924,70.3928,5.4
13003,1386,60.6243,0
13005,768.9,60.1523,8.9
13007,1067.3,61.0518,0
13009,713.9,91.1363,4.5
13011,984.8,66.0797,0
13013,745,86.6632,1.2
13015,774.4,119.2966,0.9
13017,911.4,106.0117,6
13019,363.6,84.6894,5.2
13021,1146.3,113.7887,5.2
13023,366.1,73.7317,7.8
13025,402.2,75.3798,0
13027,560.8,78.1053,6.4
13029,454,91.6048,0
13031,282,103.6434,2.6
13033,669,95.8049,4.5
13035,512.5,94.9161,4.1
13037,1149.2,94.2936,15.7
13039,251.5,71.1368,1.9
13043,572.2,60.5205,9.2
13045,262.4,101.9124,1.7
13047,370.8,40.6327,1.5
13049,478.1,48.3905,7.7
13051,556.7,126.1262,3.1
13053,280.8,39.4852,9.4
13055,710,36.857,0
13057,497.3,76.4382,0.4
13059,384,106.1724,2.4
13061,346.4,220.991,0
13063,464.1,149.9904,1.4
13065,992.8,46.18144,15
13067,409.6,89.9491,0.8
13069,1496.8,80.0494,2.3
13071,541.8,66.3247,4.4
13073,302.7,62.0138,0
13075,623.5,97.6518,11.7
13077,234.5,99.4115,2.1
13079,552,58.946,0
13081,712.4,157.8054,4.4
13083,382.1,51.6944,6.2
13085,976.8,92.9161,0
13087,545.6,86.9606,3.8
13089,598.1,111.3304,2.1
13091,512,76.0339,4.8
