FIPS,Hospitalizations,Cases,State,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,% With Annual Mammogram,% Vaccinated,High School Graduation Rate,% Some College,% Children in Poverty,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Frequent Mental Distress,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Children Uninsured,% Disconnected Youth,Average Reading Performance,Average Math Performance,% Enrolled in Free or Reduced Lunch,Black/White Segregation Index,non-White/White Segregation Index,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Juvenile Arrest Rate,% Homeowners,% Severe Housing Cost Burden,Population,% less than 18 years of age,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,internet_consumer,internet_nonconsumer,internet_all,internet_hhs,internet_ratio,covid_cases,internet_percent,%  Adults with Obesity,Heart Disease Death Rate,Hypertension Death Rate,% Adults 65 and Older,COPD Mortality Rate,% Diagnosed Diabetes,% Nonwhite,% households wo car,Number of Hospitals,% disabled,% Without Health Insurance,% Limited English Proficiency,% workers commuting by public transit,% Veterans in Civilian Adult Population,opioid death rate,% Below Poverty,Median Household Income,% No College Degree,Unemployment Rate,% Not in Labor Force,% Jobs in Leisure and Hospitality,% Part-time,% Self-Employed,Hospitalization Rate,Case Rate,Presence of Water Violation (dummy Y/N),Other Primary Care Provider Ratio (:1)
12019,938,18255,Florida,Clay,7659.194049,17.64964678,4.253840775,4.641067687,8.170173226000001,19.88600481,7.8,28.4,88.33101931,21.10753309,33.33333333,378.8,18.46421421,49.003440000000005,53.223,38,38,88.41826605,66.04551326,12.1,3.873583113,29.0786397,7.020685106,268.32354399999997,81.79719294,8.6,14.27153492,83.08446504,57.4,77.89788833,364.2536216,41.75533387,5.146714792,13.55722512,190.4,12.3,6.875673717000001,29.37420379,16.28093202,36.70326982,5.9516849910000005,6.5130349679999995,3.42258567,3.314893282,46.3699984,38.23066886,32.49329149,3.563637482,17.12979791,12.6876962,20.28225807,73.7131802,12.01408451,216072,23.23716169,11.32400311,0.564626606,3.17023955,0.159206191,10.33683217,72.09263579,1.7872470880000002,50.68310563,14.96869515,64.0,4.0,69.0,71.939,0.9,5252,90.0,32.8,280.1,231.6,16.348,63.06,10.4,19.95262698,0.02735651,3,13.6,12.4,1.5613504459999998,0.1,16.746,20.8263912,8.3,75776.0,16.97909605,3.0,35.84624731,15.15818535,40.85828476,9.305638717,434.1,8448.6,0,1010
12049,225,3071,Florida,Hardee,6848.005328,27.17906985,4.835414886000001,4.40376679,7.258367807000001,19.16888247,6.4,35.3,59.53986513,15.91197409,29.72972973,372.1,50.01582779,10.944510000000001,33.03358,36,36,72.75362319,23.7895042,38.2,4.588266508999999,41.15357887,10.94451133,269.3809662,83.21957558,7.6,17.52645503,80.14234875,29.9,79.83904299,375.6125954,0.0,0.0,15.340780300000002,284.1,12.5,22.05647391,0.0,27.60129153,36.09141262,8.339076498999999,11.95418755,3.2637292369999997,3.38265498,67.39046887,36.49325911,27.83459759,0.0,13.616307199999998,8.759955324,42.72727273,66.17344313,8.063850282,27245,26.21031382,6.661772802000001,1.174527436,1.130482657,0.11011194699999999,43.97504129,46.74986236,6.911989946,47.23435493,47.80931088,5.0,1.0,6.0,7.718,0.69,1385,69.0,39.8,285.4,253.4,17.43,55.71,15.0,18.60217423,0.059989635,1,10.1,19.0,8.94235718,3.3,6.347,18.35199119,22.1,41430.0,7.00057241,5.0,59.04624277,8.239810986,51.07738998,12.27440525,825.8,11271.8,0,2270
12083,2099,30438,Florida,Marion,10928.14661,21.22958791,4.388683766000001,4.552309867,8.804691399,18.66500418,7.0,33.0,75.644284,16.54461165,31.16531165,435.2,33.34506275,57.56971,42.224920000000004,47,43,77.35552764,49.38455695,25.9,3.9806992869999998,41.04340516,7.055111711,376.79895330000005,142.458547,8.5,14.57191457,80.536177,34.1,76.10323893,469.64309299999996,76.85488504,8.541614071,14.27860678,340.1,14.9,10.420021400000001,38.74547421,21.006857,34.93166407,6.254610913,10.68653765,3.0434935089999997,2.9536681760000003,66.33801183,47.63039748,38.05091079,6.781741237,20.71236886,18.15816622,35.31353135,75.84130565,12.7014652,359977,18.59063218,12.50885473,0.520588815,1.800392803,0.087505591,13.63781575,70.08475542,1.18778554,52.04082483,31.02825855,119.0,9.0,128.0,134.747,0.88,9917,88.0,33.0,390.3,295.5,29.18,50.76,12.0,18.13641204,0.052275746,7,18.1,17.6,1.6049635930000001,0.5,12.817,26.39057495,14.9,49079.0,13.05080308,3.8,53.41286068,12.64114751,49.24243205,12.77680699,583.1,8455.5,1,1006
12127,2192,42214,Florida,Volusia,9435.706498,18.06742297,4.09050477,4.56272928,8.642848721,18.36018578,6.8,28.9,88.78552669,16.38273236,22.59887006,394.7,22.74722806,68.68489,47.66792,45,42,77.07223524,60.72463517,17.5,4.329458277,39.97720381,7.499647294,428.0843565,93.25970499,7.6,18.20174371,80.74675129999999,35.3,76.90457872,439.46622379999997,55.59786146,5.895009873999999,14.28934528,352.2,14.3,13.26724113,26.73939121,17.89070019,35.22966418,5.671415581000001,6.584001336,3.2937995030000002,3.26664787,64.67215198,51.34588125,39.28644242,4.891773631,20.47302367,15.48648776,47.46575343,70.11291875,16.18631348,547538,17.68571314,10.36622116,0.473391801,2.0068013540000003,0.078168091,14.52812408,71.17825612,1.34357044,51.19662928,9.94332714,199.0,14.0,213.0,209.885,0.95,11077,95.0,32.6,344.6,231.2,24.908,56.84,10.0,17.6072808,0.06126212,9,17.0,15.6,2.060238984,1.0,11.613,21.73365136,13.1,53554.0,15.59488484,3.4,43.81720133,16.04949494,46.39355222,11.53537686,400.3,7709.8,1,1165
12029,114,1589,Florida,Dixie,10796.45977,24.45111594,4.938379406,5.191797907,9.267840592999999,24.65165047,7.3,44.9,34.77042991,18.67429647,62.5,521.8,41.79566564,5.997719999999999,5.98802,34,30,89.47368421,31.98161665,31.1,4.449322597,44.20980926,7.1972650389999995,499.228167,127.16579240000002,8.1,14.30868167,72.98712634,31.8,75.11064361,541.0567414,0.0,0.0,16.23929183,335.1,16.7,3.5756214230000003,32.2106577,33.37754394,36.61901533,7.206918642000001,0.0,3.31288426,3.295595198,73.59009629,36.31539393,23.59783684,8.783564195,14.36308005,22.00946407,40.0,77.16257669,8.088235294,16700,18.1736527,9.568862275,0.5808383229999999,0.413173653,0.017964072,4.017964072,83.85628743,0.280183393,44.64670659,77.02472293,3.0,0.0,4.0,6.431,0.51,834,51.0,33.3,349.5,317.7,23.678,76.24,11.2,13.36618604,0.08878868,0,24.5,15.9,0.414110429,0.0,12.915999999999999,29.94011976,22.2,39793.0,6.649636785,3.8,58.28203293,7.918968692000001,59.01735805,18.91891892,682.6,9515.0,1,2783
12069,1500,28892,Florida,Lake,7814.45815,17.36712245,4.212509644,4.1417108119999995,8.667500223,16.84582545,7.4,29.0,85.6523437,16.84394781,24.25373134,317.6,26.08227113,70.22776,48.80854,54,50,77.95681599,59.30812528,19.5,4.058561586000001,36.60652485,8.149888589,306.3644643,108.2482422,8.2,15.85610686,81.57394966,46.3,79.08425557,361.4353089,56.495898399999994,6.8210375160000005,13.45379949,297.3,12.6,10.79236923,17.14988226,17.11272528,34.51253157,7.977220299999999,9.595518696000001,3.3066627410000002,3.307274778,60.20753231,35.77427293,30.00291065,4.01625185,16.56687959,14.05202704,29.23566879,74.32291267,12.88880831,356495,19.1497777,10.33815341,0.607301645,2.261462293,0.185977363,16.04734989,69.39704624,1.809852526,51.60801694,19.25386801,118.0,9.0,127.0,127.441,0.93,7650,93.0,32.3,292.0,199.6,27.072,39.64,9.9,16.99924261,0.053970072,6,16.4,15.3,2.164528766,0.3,12.172,9.25679182,10.9,57660.0,15.36477366,3.2,44.49106248,14.26005073,42.77304622,11.05790222,420.8,8104.5,0,1146
12075,224,3368,Florida,Levy,10525.15624,22.99705349,4.941382207,4.955888898,8.684774839,23.61738764,7.4,36.9,46.59689714,16.99652293,35.35353535,512.9,31.5893386,17.34605,24.527839999999998,40,34,79.42122187,42.23475756,26.3,4.151786747,41.12008073,7.434023046,1075.9850390000001,123.17297579999999,8.2,14.86662329,79.78061902,54.0,75.21587969,483.88254620000004,85.20575612,8.434176751,15.87164033,260.1,16.0,3.638273429,19.82062336,34.26124197,39.8080906,8.159960135,0.0,3.143567972,3.242228774,66.84626437,48.09436016,37.85053745,6.067094932000001,19.69044653,20.44571662,48.88888889,77.19223514,12.02457956,40770,19.51434879,8.955114055,0.730929605,0.748099093,0.090753005,8.587196468,79.53397106,1.304382197,51.18224184,92.04921448,9.0,1.0,10.0,15.806,0.59,1051,59.0,33.1,362.8,259.1,25.145,67.34,12.3,12.39458472,0.053523978,1,19.9,18.1,1.405708027,0.1,14.175,12.26391955,18.2,41405.0,7.732567955,3.7,49.65230741,11.69900722,47.97530339,14.88713025,549.4,8261.0,1,1456
12119,573,9205,Florida,Sumter,8446.756069,14.49104118,3.5291921489999996,4.086970664,9.058080047999999,12.20471541,8.1,21.9,82.09055877,12.77227757,15.68627451,176.6,44.86671945,37.55043,25.63027,54,47,85.48387097,40.50589289,26.6,3.709588835,34.8552466,5.113250508999999,212.45766780000002,113.06442220000001,8.3,11.77066451,74.82686555,32.9,80.73553802,327.6435122,70.74937741,8.312807882000001,12.39758148,245.3,12.1,4.284025856,11.9074395,14.39319275,28.64839284,7.128177393,16.52710445,3.503749567,3.452164054,59.5070015,59.75294611,48.23039596,2.195571776,13.90390983,9.326587647,37.0,89.75949923,10.09728469,128754,7.069294935,7.0335678889999995,0.40309427299999995,0.9537567770000001,0.068347391,5.74972428,85.09871538,0.96165981,50.14213151,34.96467566,56.0,3.0,59.0,52.36,1.08,2438,108.0,31.9,262.4,175.7,58.174,25.85,10.3,11.20257192,0.033728037,2,19.6,12.1,0.46123435100000004,0.2,17.33,9.320098793,8.9,63464.0,18.42510984,4.6,72.11901629,14.08594598,62.22781296,15.58528958,445.0,7149.3,1,1893
12117,1237,33183,Florida,Seminole,6064.826492,16.05102972,3.935229213,4.058643695,7.791762727,15.64200647,7.8,20.3,90.78700221,17.94131013,22.11055276,392.1,12.50104262,75.64967,59.42304,35,43,88.82140824,77.9050376,13.4,4.518198329,29.6526714,6.765241787000001,356.8931814,62.56503471,7.7,17.28067087,81.53919570000001,42.2,80.59087786,291.13870289999994,43.00731897,5.348098278999999,12.55221899,302.4,11.9,7.156264196,20.99612546,9.953859251,34.60817586,4.440305349,4.410887226,3.479855873,3.4094167210000004,45.02945508,33.84474424,23.32537363,3.879779005,12.16312729,10.01040555,36.41025641,65.19210539,15.62455552,467832,21.01373998,11.39148241,0.437977736,4.872903093,0.121411105,21.98118128,59.57822466,2.764223115,51.68992288,3.157660663,159.0,13.0,172.0,161.371,0.98,9200,98.0,26.1,270.8,272.1,15.981,42.73,9.1,22.76536743,0.036753816,6,10.3,12.6,3.348993449,0.9,7.651,16.45889978,9.3,69954.0,26.3728993,2.9,31.97810769,10.77142743,39.09231343,11.46977608,264.4,7092.9,0,1329
12095,2759,134552,Florida,Orange,6255.969678,19.45418537,3.952937955,4.027954798000001,8.709312446,15.59988113,7.5,24.6,93.72105037,17.47854305,24.23873325,705.9,19.49478942,87.39969,48.528040000000004,32,40,84.48600646,68.96913561,22.8,4.580486175,37.58457294,7.212883856,647.9686242,59.71043174,6.9,21.47915028,79.27000705,43.7,80.32359434,302.5876751,57.07557157,6.744382616,13.19919598,732.9,13.8,6.87936346,17.43329046,11.12884551,36.02824508,7.685412175,6.514450622000001,3.265154093,3.201023471,55.32748533,51.56266428,35.61283485,7.256495479,10.14431463,11.25265257,34.05166052,54.66896926,18.97894952,1380645,22.15754231,20.23546965,0.567271094,5.704435246,0.200775724,32.33010658,39.7450467,6.883531382,50.93995922,2.042137744,429.0,41.0,470.0,451.96,0.95,40840,95.0,27.0,285.2,258.1,12.312000000000001,38.27,8.9,36.11278889,0.061277547,18,10.9,14.8,7.964449329,2.5,6.18,15.28271207,12.6,63133.0,22.82194886,2.9,29.44173143,24.96503488,40.12800765,9.727851346,199.8,9745.6,1,754
