year,month,day_endofweek,countyfips,initclaims_rate_regular
2020,1,4,29019,0.118
2020,1,4,29021,0.152
2020,1,4,29023,0.945
2020,1,4,29025,0.137
2020,1,4,29027,0.145
2020,1,4,29029,0.339
2020,1,4,29031,0.11
2020,1,4,29033,0.187
2020,1,4,29035,0.55
2020,1,4,29037,0.157
2020,1,4,29039,0.104
2020,1,4,29041,0.0805
2020,1,4,29043,0.24
2020,1,4,29045,0.125
2020,1,4,29047,0.132
2020,1,4,29049,0.149
2020,1,4,29051,0.136
2020,1,4,29053,0.227
2020,1,4,29055,0.273
2020,1,4,29057,0.282
2020,1,4,29059,0.452
2020,1,4,29061,0.0975
2020,1,4,29063,0.124
2020,1,4,29065,0.207
2020,1,4,29067,0.392
2020,1,4,29069,0.354
2020,1,4,29071,0.212
2020,1,4,29073,0.168
2020,1,4,29075,0.142
2020,1,4,29077,0.143
2020,1,4,29079,0.273
2020,1,4,29081,0.105
2020,1,4,29083,0.257
2020,1,4,29085,0.234
2020,1,4,29087,0.193
2020,1,4,29089,0.204
2020,1,4,29091,0.254
2020,1,4,29093,0.283
2020,1,4,29095,0.15
2020,1,4,29097,0.0715
2020,1,4,29099,0.183
2020,1,4,29101,0.195
2020,1,4,29103,0.113
2020,1,4,29105,1.52
2020,1,4,29107,0.142
2020,1,4,29109,0.427
2020,1,4,29111,0.04
2020,1,4,29113,0.425
2020,1,4,29115,0.312
2020,1,4,29117,0.0951
2020,1,4,29119,0.0842
2020,1,4,29121,0.279
2020,1,4,29123,0.346
2020,1,4,29125,0.129
2020,1,4,29127,0.13
2020,1,4,29129,0.0537
2020,1,4,29131,0.317
2020,1,4,29133,0.38
2020,1,4,29135,0.219
2020,1,4,29137,0.181
2020,1,4,29139,0.227
2020,1,4,29141,0.234
2020,1,4,29143,0.328
2020,1,4,29145,0.19
2020,1,4,29147,0.195
2020,1,4,29149,0.1
2020,1,4,29151,0.0422
2020,1,4,29153,0.147
2020,1,4,29155,0.393
2020,1,4,29157,0.119
2020,1,4,29159,0.186
2020,1,4,29161,0.146
2020,1,4,29163,0.2
2020,1,4,29165,0.107
2020,1,4,29167,0.137
2020,1,4,29169,0.613
2020,1,4,29171,0.131
2020,1,4,29173,0.177
2020,1,4,29175,0.202
2020,1,4,29177,0.326
2020,1,4,29179,0.131
2020,1,4,29181,0.953
2020,1,4,29183,0.163
2020,1,4,29185,0.107
2020,1,4,29186,0.163
2020,1,4,29187,0.274
2020,1,4,29189,0.156
2020,1,4,29195,0.17
2020,1,4,29197,0.154
2020,1,4,29199,0.0419
2020,1,4,29201,0.23
2020,1,4,29203,0.217
2020,1,4,29205,0.196
2020,1,4,29207,0.45
2020,1,4,29209,1.43
2020,1,4,29211,0.224
2020,1,4,29213,2.35
2020,1,4,29215,0.178
2020,1,4,29217,0.0951
2020,1,4,29219,0.345
2020,1,4,29221,0.381
2020,1,4,29223,0.565
2020,1,4,29225,0.295
2020,1,4,29227,0.0855
2020,1,4,29229,0.614
2020,1,4,29510,0.197
2020,1,4,32001,0.199
2020,1,4,32003,0.161
2020,1,4,32005,0.129
2020,1,4,32007,0.146
2020,1,4,32009,0
2020,1,4,32011,0
2020,1,4,32013,0.109
2020,1,4,32015,0.0933
2020,1,4,32017,0
2020,1,4,32019,0.265
2020,1,4,32021,0.345
2020,1,4,32023,0.191
2020,1,4,32027,0.234
2020,1,4,32029,0.0491
2020,1,4,32031,0.17
2020,1,4,32033,0.216
2020,1,4,32510,0.16
2020,1,4,39001,0.541
2020,1,4,39003,0.184
2020,1,4,39005,0.198
2020,1,4,39007,0.274
2020,1,4,39009,0.116
2020,1,4,39011,0.0961
2020,1,4,39013,0.348
2020,1,4,39015,0.255
2020,1,4,39017,0.108
2020,1,4,39019,0.363
2020,1,4,39021,0.14
2020,1,4,39023,0.188
2020,1,4,39025,0.143
2020,1,4,39027,0.215
2020,1,4,39029,0.162
2020,1,4,39031,0.744
2020,1,4,39033,0.362
2020,1,4,39035,0.138
2020,1,4,39037,0.143
2020,1,4,39039,0.205
2020,1,4,39041,0.0616
2020,1,4,39043,0.363
2020,1,4,39045,0.201
2020,1,4,39047,0.202
2020,1,4,39049,0.087
2020,1,4,39051,0.423
2020,1,4,39053,0.436
2020,1,4,39055,0.13
2020,1,4,39057,0.113
2020,1,4,39059,0.365
2020,1,4,39061,0.117
2020,1,4,39063,0.105
2020,1,4,39065,0.159
2020,1,4,39067,0.397
2020,1,4,39069,0.4
2020,1,4,39071,0.235
2020,1,4,39073,0.298
2020,1,4,39075,0.0626
2020,1,4,39077,0.429
2020,1,4,39079,1.09
2020,1,4,39081,0.242
2020,1,4,39083,0.165
2020,1,4,39085,0.174
2020,1,4,39087,0.126
2020,1,4,39089,0.13
2020,1,4,39091,0.14
2020,1,4,39093,0.241
2020,1,4,39095,0.207
2020,1,4,39097,0.106
2020,1,4,39099,0.23
2020,1,4,39101,0.123
2020,1,4,39103,0.162
2020,1,4,39105,0.486
2020,1,4,39107,0.0556
2020,1,4,39109,0.152
2020,1,4,39111,0.468
2020,1,4,39113,0.146
2020,1,4,39115,0.551
2020,1,4,39117,0.22
2020,1,4,39119,0.407
2020,1,4,39121,0.511
2020,1,4,39123,0.413
2020,1,4,39125,0.116
2020,1,4,39127,0.509
2020,1,4,39129,0.181
2020,1,4,39131,0.249
2020,1,4,39133,0.183
2020,1,4,39135,0.132
2020,1,4,39137,0.138
2020,1,4,39139,0.249
2020,1,4,39141,0.184
2020,1,4,39143,0.387
2020,1,4,39145,0.412
2020,1,4,39147,0.168
2020,1,4,39149,0.132
2020,1,4,39151,0.24
2020,1,4,39153,0.159
2020,1,4,39155,0.337
2020,1,4,39157,0.294
2020,1,4,39159,0.0897
2020,1,4,39161,0.146
2020,1,4,39163,0.612
2020,1,4,39165,0.0915
2020,1,4,39167,0.248
2020,1,4,39169,0.122
2020,1,4,39171,0.226
2020,1,4,39173,0.148
2020,1,4,39175,0.108
2020,1,4,56001,0.104
2020,1,4,56003,0.245
2020,1,4,56005,0.168
2020,1,4,56007,0.163
2020,1,4,56009,0.092
2020,1,4,56013,0.274
2020,1,4,56017,0.23
2020,1,4,56019,0.287
2020,1,4,56021,0.184
2020,1,4,56023,0.124
2020,1,4,56025,0.267
2020,1,4,56027,0
2020,1,4,56029,0.168
2020,1,4,56031,0.107
2020,1,4,56033,0.256
2020,1,4,56035,0.17
2020,1,4,56037,0.221
2020,1,4,56039,0.116
2020,1,4,56041,0.255
2020,1,4,56043,0.203
2020,1,4,56045,0.184
2020,1,11,6001,0.192
2020,1,11,6003,0.55
2020,1,11,6005,0.38
2020,1,11,6007,0.442
2020,1,11,6009,0.376
2020,1,11,6011,2.12
2020,1,11,6013,0.214
2020,1,11,6015,0.54
2020,1,11,6017,0.275
2020,1,11,6019,0.729
2020,1,11,6021,0.729
2020,1,11,6023,0.407
2020,1,11,6025,1.06
2020,1,11,6027,0.277
2020,1,11,6029,0.759
2020,1,11,6031,0.94
2020,1,11,6033,0.495
2020,1,11,6035,0.594
2020,1,11,6037,0.259
2020,1,11,6039,0.619
2020,1,11,6041,0.126
2020,1,11,6043,0.597
2020,1,11,6045,0.432
2020,1,11,6047,1.03
2020,1,11,6049,0.557
2020,1,11,6051,0.252
2020,1,11,6053,0.713
2020,1,11,6055,0.232
2020,1,11,6057,0.272
2020,1,11,6059,0.16
2020,1,11,6061,0.224
2020,1,11,6063,0.959
2020,1,11,6065,0.306
2020,1,11,6067,0.314
2020,1,11,6069,0.561
2020,1,11,6071,0.338
2020,1,11,6073,0.212
2020,1,11,6075,0.164
2020,1,11,6077,0.541
2020,1,11,6079,0.194
2020,1,11,6081,0.109
2020,1,11,6083,0.292
2020,1,11,6085,0.145
2020,1,11,6087,0.583
2020,1,11,6089,0.665
2020,1,11,6091,0.628
2020,1,11,6093,0.869
2020,1,11,6095,0.342
2020,1,11,6097,0.233
2020,1,11,6099,0.594
2020,1,11,6101,0.765
2020,1,11,6103,0.569
2020,1,11,6105,0.796
2020,1,11,6107,0.937
2020,1,11,6109,0.487
2020,1,11,6111,0.271
2020,1,11,6113,0.361
2020,1,11,6115,0.713
2020,1,11,11001,0.17
2020,1,11,13001,0.364
2020,1,11,13003,1.53
2020,1,11,13005,0.386
2020,1,11,13007,0.253
2020,1,11,13009,0.33
2020,1,11,13011,0.725
2020,1,11,13013,0.242
2020,1,11,13015,1.32
2020,1,11,13017,1.64
2020,1,11,13019,0.532
2020,1,11,13021,0.477
2020,1,11,13023,0.759
